iter	Passed	Remaining
0	1	166
1	3	184
2	5	180
3	7	170
4	8	169
5	10	167
6	11	158
7	13	155
8	15	155
9	17	154
10	18	147
11	19	140
12	19	133
13	20	128
14	21	123
15	23	121
16	24	118
17	25	115
18	26	111
19	27	108
20	27	105
21	28	102
22	29	99
23	30	96
24	31	94
25	32	92
26	33	91
27	34	89
28	35	87
29	36	85
30	37	84
31	38	82
32	39	80
33	40	78
34	41	76
35	41	74
36	43	73
37	44	71
38	44	70
39	45	68
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	59
46	51	57
47	51	56
48	52	54
49	53	53
50	54	52
51	55	50
52	55	49
53	56	48
54	57	46
55	58	45
56	59	44
57	60	43
58	61	42
59	62	41
60	63	40
61	63	39
62	64	38
63	65	36
64	66	35
65	67	34
66	68	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	72	26
73	73	25
74	74	24
75	75	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	82	14
85	83	13
86	84	12
87	85	11
88	87	10
89	88	9
90	89	8
91	90	7
92	90	6
93	91	5
94	92	4
95	93	3
96	93	2
97	94	1
98	95	0
99	96	0
