iter	Passed	Remaining
0	178	178327
1	182	91100
2	184	61339
3	186	46402
4	189	37765
5	192	31883
6	194	27615
7	195	24278
8	198	21854
9	200	19892
10	203	18316
11	206	17034
12	209	15871
13	210	14797
14	212	13924
15	214	13205
16	217	12586
17	220	12033
18	223	11515
19	225	11055
20	229	10694
21	231	10306
22	234	9968
23	237	9650
24	238	9319
25	240	9001
26	242	8741
27	245	8521
28	247	8288
29	250	8083
30	251	7868
31	253	7675
32	256	7525
33	259	7377
34	264	7297
35	267	7162
36	269	7021
37	272	6898
38	274	6763
39	276	6626
40	278	6503
41	279	6378
42	280	6247
43	282	6143
44	284	6029
45	286	5934
46	287	5835
47	289	5738
48	291	5653
49	292	5559
50	295	5497
51	296	5409
52	298	5328
53	300	5258
54	302	5201
55	304	5129
56	306	5076
57	308	5011
58	310	4954
59	311	4886
60	313	4826
61	315	4774
62	317	4724
63	319	4670
64	322	4634
65	323	4584
66	325	4530
67	327	4485
68	328	4433
69	330	4391
70	332	4346
71	333	4304
72	335	4258
73	337	4217
74	338	4175
75	339	4131
76	341	4090
77	342	4048
78	343	4006
79	344	3966
80	346	3925
81	347	3889
82	348	3846
83	349	3813
84	351	3778
85	353	3758
86	354	3723
87	355	3688
88	357	3655
89	361	3653
90	362	3620
91	363	3587
92	365	3566
93	367	3539
94	368	3508
95	369	3478
96	370	3452
97	372	3426
98	373	3396
99	374	3367
100	375	3340
101	376	3314
102	377	3287
103	378	3264
104	380	3239
105	381	3215
106	382	3192
107	384	3172
108	385	3148
109	386	3125
110	387	3101
111	388	3078
112	389	3057
113	391	3039
114	392	3019
115	393	2998
116	394	2976
117	395	2956
118	396	2935
119	397	2916
120	398	2896
121	399	2874
122	400	2854
123	401	2835
124	402	2815
125	403	2798
126	404	2779
127	405	2762
128	406	2744
129	407	2727
130	408	2710
131	409	2693
132	410	2677
133	411	2660
134	412	2643
135	413	2626
136	414	2610
137	416	2603
138	417	2588
139	418	2573
140	419	2558
141	420	2543
142	422	2529
143	423	2515
144	424	2501
145	425	2486
146	426	2472
147	426	2457
148	428	2444
149	429	2431
150	429	2417
151	430	2403
152	431	2389
153	432	2377
154	434	2366
155	435	2354
156	436	2342
157	437	2331
158	438	2320
159	440	2314
160	441	2301
161	442	2289
162	443	2277
163	444	2266
164	445	2255
165	446	2244
166	447	2233
167	449	2223
168	450	2213
169	451	2204
170	454	2203
171	455	2191
172	456	2181
173	457	2170
174	457	2158
175	458	2148
176	460	2139
177	461	2129
178	462	2120
179	463	2111
180	464	2102
181	465	2093
182	466	2083
183	467	2074
184	468	2065
185	469	2056
186	471	2049
187	472	2041
188	473	2032
189	474	2023
190	475	2014
191	476	2004
192	477	1995
193	478	1988
194	479	1980
195	480	1971
196	481	1963
197	482	1955
